[00:12] Hello 大家好,我是小骏
[00:14] 今天这期节目我们来到了美国纽约
[00:17] 此时正是中国的春节
[00:19] 纽约刚刚下过了一场大雪
[00:22] 这是近几年以来纽约最冷的一个冬天
[00:25] 街道上还有许多没有化开的冰雪
[00:28] 但是今天这场对话
[00:30] 让我感受到了一种冰冻解封后的人间烟火气息
[00:35] 今天坐在我对面的是华人青年科学家谢赛明
[00:40] 他刚刚和图灵奖得主杨立坤一起踏上了创业的旅程
[00:45] 他们的Neolab AMI刚刚完成了第一笔超大规模的融资
[00:51] 目前团队规模为25人
[00:53] 谢赛明一直告诉我
[00:56] 他不是那个天选之子
[00:58] 他是普通的那一个
[01:00] 那接下来就是我对谢赛明的访谈
[01:03] 伊莱亚给我打电话
[01:05] 就我什么都没说我就把我拍下去了
[01:07] 他们发给我一个offer
[01:08] 然后说我不去抱歉
[01:10] 但是有爱的同时一定就有恨
[01:13] 就他他是一体两面
[01:23] 我今天早上我们在纽约就是布鲁克林派空镜
[01:26] 我觉得这里我很喜欢这里
[01:28] 因为我住在时代广场那边
[01:29] 我觉得那边还是一个非常刻板印象的纽约
[01:32] 但是好像来到这里就是一个充满了艺术气息和生活气息的纽约
[01:37] 我觉得Dumbo这边当然非常艺术
[01:40] 很多电影里面
[01:41] 我们之前有韩国电影叫过往人生里面
[01:44] 他们
[01:45] 拍你可能看到的旋转旋转木马
[01:47] 然后那边的Dumbo大桥是吧
[01:50] 时代广场只有游客才会去
[01:51] 我就是真正的纽约人是不会去的
[01:55] 但其实NYU附近其实也很好
[01:56] 那边叫做Grimwich Village
[01:59] 然后那边也是一个村
[02:01] 然后那边也很有生活气息
[02:04] 你为什么会来纽约做学术呀
[02:07] 这好像不是一个很多人的选择
[02:10] 倒也不是吧
[02:11] 但是历史比较长的确实是各种原因吧
[02:15] 对的啊
[02:15] 当然也是因为我确实比较向往这个城市
[02:19] 向往这个城市里面的很多的元素
[02:22] 他的一些人
[02:23] 然后包括NYU其实也是
[02:25] 然后当然主要的原因还是因为Young啊
[02:30] 然后像AI的这些efforts
[02:32] 对吧
[02:32] NYU确实做得很不错
[02:35] 但另一方面NYU还有很强的电影学
[02:38] 然后我喜欢的很多导演像是Martin Scorsese啊
[02:42] 包括最近赵婷啊什么都是NYU的毕业生啊
[02:43] 包括最近赵婷啊什么都是NYU的毕业生啊
[02:45] 包括最近赵婷啊什么都是NYU的毕业生啊
[02:45] 所以也是partly the reason吧
[02:48] 也是也是也是也是一些原因
[02:51] 对我这个我我再跟你说
[02:54] 我觉得我来美国现在多少年了
[02:56] 13年过来
[02:57] 然后13年左右了
[02:58] 我这个后训练现在有点崩
[03:00] 所以中英夹杂的问题对观众朋友们不好意思
[03:05] 我尽量尽量解释
[03:06] 多多见谅
[03:08] 多多见谅多多见谅
[03:11] 我好像没有在任何地方找到你的一个播客或者一个访问
[03:11] 我好像没有在任何地方找到你的一个播客或者一个访问
[03:12] 我好像没有在任何地方找到你的一个播客或者一个访问
[03:13] 我好像没有在任何地方找到你的一个播客或者一个访问
[03:13] 我好像没有在任何地方找到你的一个播客或者一个访问
[03:15] 所以这是你第一次做一个播客或者访谈吗
[03:18] 第一次做播客
[03:20] 第一次做播客
[03:20] 第一次做访谈
[03:22] 对你可能能找到很多我出去在各种conference的吧
[03:25] 会议上面的演讲
[03:27] 做演讲这些这些很多
[03:28] 为什么你之前这么多年都没有上过一个播客或者做一个访谈啊
[03:34] 我觉得
[03:39] 我不知道
[03:39] 我觉得我更适合做一个听众
[03:41] 我很喜欢podcast
[03:42] 对我经常听很多的播客
[03:43] 我的podcast我的这个spotify啊
[03:45] youtube啊
[03:46] 每天上班下班
[03:48] 然后睡觉前平时没事都会听一些podcast
[03:51] 对
[03:52] 然后我觉得我也挺有表达的欲望的
[03:56] 或者说我私下里跟朋友也会聊很多东西
[03:58] 我跟学生我觉得嗯
[04:00] 平时抓大家一起聊天
[04:01] 我觉得也很开心
[04:02] 但是podcast这件事情
[04:05] 对我也不知道啊
[04:06] 可能是因为没有人邀请我吧
[04:08] 应该不会啊
[04:10] 其实对有一些吧
[04:12] 但是我觉得还是
[04:12] 可能也是因为我自己的生活
[04:13] 因为比较哀人吧
[04:14] 我觉得很多时候对觉得嗯不知道哪些话应该说哪些话值得说
[04:22] 哪些话大家愿意听啊
[04:24] 但我现在我觉得慢慢对年龄大了之后也也还好
[04:28] 拥拥有了这个不被人喜欢的勇气
[04:33] 我其实在网上看了你的很多很多的信息
[04:35] 但是我发现所有人对你的描写都是从上海交大的AZM班开始的
[04:41] 那我也很好奇在那之前的谢赛宁是什么样的呀
[04:42] 那我也很好奇在那之前的谢赛宁是什么样的呀
[04:43] 那我也很好奇在那之前的谢赛宁是什么样的呀
[04:43] 那我也很好奇在那之前的谢赛宁是什么样的呀
[04:44] 你能不能从以你对这个世界拥有最早的记忆片段为开端
[04:49] 来给我们讲一讲你的童年和成长
[04:52] 来给我们讲一讲你的童年和成长
[04:52] 来给我们讲一讲你的童年和成长
[04:52] 来给我们讲一讲你的童年和成长
[04:55] OK
[04:56] 你看这就是为什么不想做podcast
[04:59] 因为确实没准备过或者说你得让我回忆回忆
[05:03] 从最早的记忆片段的当然就是我觉得从小时候开始吧
[05:07] 可能四五岁的时候
[05:11] 我妈妈带着我去四处旅游
[05:13] 我妈妈带着我去四处旅游
[05:13] 这可能就是一开始的记忆
[05:15] 在哪里旅游
[05:17] 各种地方
[05:18] 因为她也做一些生意
[05:20] 然后四处跑
[05:21] 全国各处跑
[05:22] 我记得印象很深
[05:23] 这种在上海的这种初印象
[05:26] 然后去四川
[05:27] 然后这些就是能想象的各种旅游景点
[05:31] 但是对我
[05:33] 如果非要申报这个家庭情况
[05:36] 就是我爸是一个纯粹的私宅
[05:39] 从来不出门
[05:42] 但是他最爱看的事情
[05:43] 就是看书
[05:44] 所以我家里反正有一个书房吧
[05:47] 然后几面墙都是都是书
[05:50] 所以我小时候基本上就处在这种状态之中
[05:53] 要么就在外面跑
[05:54] 被我妈带着到外面旅游
[05:57] 要么就在家里面翻一些有的没的
[05:59] 能看的不能看的书都看一看
[06:02] 对
[06:03] 然后我觉得这是一开始的童年
[06:05] 然后到了后来确实
[06:07] 我觉得我们这一代人的成长经历还蛮不一样的
[06:11] 因为我觉得当然不知道
[06:12] 我觉得现在还在成长之后呢
[06:13] 孩子可能在这种AI的时代
[06:15] 也会有同样的感受吧
[06:17] 但我那时候
[06:18] 我大概九岁的时候有自己的第一台电脑
[06:20] 然后那时候开始
[06:22] 不用来干正事的吧
[06:24] 也是一盒一盒的买游戏
[06:27] 然后打游戏
[06:28] 然后后来有了互联网
[06:30] 然后第一次感觉到这种信息爆炸
[06:32] 所以那时候第一次知道什么叫做内容
[06:35] 然后那时候就会觉得自己突然有了更多的表达
[06:39] 因为你看书还是单向的这种学习的过程
[06:42] 嗯啊
[06:42] 虽然也是很开阔的
[06:45] 但到网上当初有这些BBS
[06:48] 然后你可以上网去发表意见
[06:49] 我还记得有这种新浪博客
[06:53] 现在可能都没有了
[06:54] 但我写了很多很多的博客
[06:56] 哦是吗
[06:56] 关于各种各样的乱七八糟的topic
[07:00] 现在肯定回头看过去都会很好笑
[07:05] 但是
[07:05] 最popular的一篇文章是什么呀
[07:08] 很多吧
[07:09] 我觉得我记得
[07:11] 啊
[07:12] 有点有点
[07:14] 为复兴词强说愁的感觉吧
[07:17] 嗯
[07:18] 可能那时候包括qq空间对吧
[07:20] 就是大家总会有一个想要有一个平台去去表达自己
[07:24] 然后到后面其实还有更多的这种新鲜的媒介出现
[07:28] 包括有博客
[07:29] 然后有有有微博对吧
[07:31] 但那时候其实不是为微博是泛否
[07:33] 不知道听没听说过
[07:35] 是王兴对吧
[07:36] 所以然后那时候我也是泛否的众多用户啊啊
[07:40] 上面
[07:42] 呃泛否现在还能登录
[07:43] 但是实在是不忍直视啊
[07:45] 有时候看了看
[07:46] 我想哎呀要不要赶紧删掉啊
[07:48] 最后想一下还是留在那吧啊
[07:50] 那变成这个互联网记忆的一部分
[07:53] 嗯
[07:54] 但是我觉得那时候
[07:56] 呃
[07:58] 我觉得我觉得这种互联网的爆炸式的增长
[08:02] 让我变成了一个对很多事情都很感兴趣的人
[08:05] 嗯
[08:06] 嗯
[08:07] 我觉得是这样
[08:08] 所以你爸爸
[08:09] 妈妈你妈妈是做生意的
[08:11] 你们是一个商人家庭吗
[08:13] 也不是也不是
[08:14] 呃
[08:16] 对啊反正我爸爸基本上也是他
[08:18] 他是本科是学心理学的啊
[08:21] 他也之前也从事一些教育工作
[08:24] 啊
[08:24] 后来也在一些呃这种电视台上的传媒工作
[08:28] 哦
[08:29] 可能跟你是同行
[08:30] 哦
[08:30] 对
[08:31] 所以他小时候我的记忆对他的记忆是他扛着摄像机到处跑
[08:35] 哦
[08:36] 那这个有趣
[08:37] 对对对
[08:38] 但我家里确实没有没有人是学纯理工的啊
[08:39] 哦这也让你的性格我觉得还有一有一部分是蛮文艺的
[08:43] 可能吧
[08:44] 但是但我觉得我我觉得我我我一想说的还是嗯在这种非常轻松的家庭环境成长起来
[08:52] 啊
[08:52] 确实让我的自己的这个世界模型
[08:54] 我觉得啊
[08:56] 我自己对他我还是觉得蛮蛮proud
[08:58] 蛮蛮骄傲的
[09:00] 嗯
[09:00] 因为我觉得我会或者说你刚刚问为什么会来纽约
[09:03] 这我觉得这也是其中的一个原因
[09:05] 嗯
[09:06] 嗯
[09:06] 嗯
[09:07] 嗯
[09:07] 嗯
[09:08] 嗯
[09:08] 嗯
[09:08] 嗯
[09:08] 嗯
[09:09] 嗯
[09:09] 嗯
[09:09] 嗯
[09:10] 嗯
[09:10] 嗯
[09:10] 嗯
[09:11] 嗯
[09:11] 嗯
[09:11] 嗯
[09:11] 嗯
[09:12] 我觉得我可能会希望自己或者希望身边的人都更加open-minded的去看待这个世界吧
[09:18] 你是学习成绩一直很好吗
[09:20] 因为你是保送到较大ACM班的
[09:22] 呃
[09:23] 不完全不是的
[09:24] 我是从高中
[09:26] 对我觉得这件事情是这样
[09:27] 就是说你可以看我现在有身边有很多很多的朋友
[09:30] 大家其实都是呃A class一路走上来的
[09:34] 对啊
[09:35] 最好的高中对吧
[09:36] 然后最好的本科呃
[09:39] 参加竞赛最好的本科
[09:40] 然后最好的PhD
[09:42] 然后结束了之后去比如私大教书
[09:44] 就有一个非常清晰的主线对吧
[09:47] 然后我也很崇敬他们
[09:49] 我完全不是这样啊
[09:50] 我是一个呃最多是一个B class的这样的一个trajectory
[09:55] 哦
[09:56] 你像你像而且很多我的这些决策其实还是蛮玄学的
[09:59] 因为我觉得我并没有刻意的在某种这种幽寂主义的这种这种这种这种setting下框架下面去努力
[10:09] 追求一些事情
[10:10] 很多时候其实还是挺随机的啊
[10:13] 然后可能也是这个没办法啊
[10:16] 这个智商不够
[10:18] 但是确实比如说像保送的时候对吧
[10:21] 这个也是很偶然
[10:22] 然后反正有有两个呃这种心理学跟数学的竞赛的奖
[10:27] 然后这时候恰好交大有这么一个呃计划
[10:31] 就是说可以提前进校啊
[10:33] 就是想收割一些同学
[10:35] 然后让大家不要去高考的
[10:36] 对其实我当初还是蛮顺着高考的
[10:38] 对其实我当初还是蛮顺着高考的
[10:39] 这个框架去培养
[10:40] 其实我呃本身应该是应该是要去参加高考的啊
[10:46] 所以当当初还纠结了很很长一段时间
[10:49] 学校老师都会说啊这个不行啊
[10:52] 你怎么能这个临阵脱逃呢
[10:54] 你已经你看你的成绩也很好
[10:56] 对吧啊
[10:57] 你当然应该冲一冲清华北大啊
[10:59] 然后我的内心想法是交大挺好
[11:03] 我觉得我去我去上海呆过
[11:06] 我觉得我跟这个城市跟这个学校
[11:08] 都气质相投
[11:10] 并且我就是想学计算机
[11:12] 然后我觉得交大那个时候
[11:14] 计算机也很不错啊
[11:16] 我也听说过有ACM这样的一个计划
[11:18] 虽然那时候这个选拔的过程其实是要到啊
[11:21] 你你提前进校进去之后
[11:23] 有一个夏令营之类的这样一个一个program
[11:26] 对吧
[11:26] 然后你进行一些测试啊
[11:29] 然后然后才能进入到这个班级里面
[11:32] 对
[11:32] 但这里面有很多很有趣的事情发生啊
[11:34] 当然首先话又说回来
[11:36] 我觉得我还是蛮啊
[11:38] 怎么说呢
[11:40] 就让我再选一次的话
[11:41] 我完全不会后悔
[11:42] 对我觉得提前进校的那个暑假
[11:45] 是我这人生中的高光时刻
[11:47] 为什么
[11:48] 因为那两个月啥也没干
[11:51] 就在寝室里面打游戏
[11:52] 这为什么是高光时刻
[11:54] 因为这辈子在之后再也没有出现过这样的时刻了
[11:58] 当时打什么游戏啊
[11:59] 很多啊打刀他啊什么的
