[00:03] 人就是一个标准的通用的VOA模型大佬
[00:07] 人就是一个AGI
[00:10] 之前的机器人是什么
[00:11] 是100种场景100个任务
[00:14] 我要重新开发100种机器人
[00:18] 那么恰吉比的出现
[00:20] 使得我们看到这样一种曙光这样一个希望
[00:23] 我们不用去再做专用的开发专用的模型
[00:26] 这个是完全没法scale的
[00:28] 包括这个Sergei11
[00:32] 包括刚才的RT系列工作的话
[00:34] 像Sergei7这些都参与的比较多
[00:38] 然后他们其实后面如果了解也知道
[00:40] 然后他们后来创立了派
[00:41] 这一套都是他们这一帮人
[00:44] Google Berkeley和派等等这帮人
[00:46] 当然也包括斯坦福尔几个
[00:48] 然后这切尔森其实也是Sergei的一个学生
[00:51] 然后这儿立了两个工作
[00:58] 是一个系列的工作
[00:59] 其实是字节这边做的
[01:01] 字节也是在国内相对比较早
[01:04] 开始做VOA模型的单位之一
[01:07] Hello大家好
[01:18] 欢迎收听张小军商业访谈录
[01:20] 我是小骏
[01:21] 这是一档提供一手高密度信息的商业访谈节目
[01:25] 今天的嘉宾是清华大学交叉信息研究院助理教授
[01:29] 心动纪元创始人陈剑宇
[01:31] 他的研究和创业方向都是人型机器人
[01:35] 大元模型浪潮爆发后
[01:37] 学界和工业界都看见了机器人从专用走向通用的可能迹象
[01:42] 机器人革命随之而来
[01:44] 其中本轮革命最重要的是
[01:46] 对机器人底层架构
[01:48] 也就是机器人的大脑的探索
[01:51] 但是今天的通用机器人还在科学研究阶段
[01:54] 处在产业发展的早期
[01:57] 那这期节目陈老师将带领大家盖蓝式的阅读
[02:00] 机器人机座模型和当下最前沿的架构
[02:04] VLA架构相关的经典论文
[02:06] 希望我们的节目能帮更多人靠近科学前线
[02:10] 感受技术之美
[02:12] 并且能够直观的感知当前的技术拐点
[02:15] 还是那句话
[02:16] 期待2025我们和AI共同进步
[02:20] 哈喽陈老师先给听众朋友们打个招呼
[02:33] 你也可以介绍一下你的研究方向和创业方向
[02:36] 哈喽大家好
[02:38] 我叫陈建宇
[02:39] 我这边是目前是新中基园的创始人
[02:43] 然后也是清华大学交叉性研究院的助理教授
[02:46] 那么我这边的研究方向
[02:49] 主要是集中在巨声智能以及人影机器人
[02:53] 然后我这边创业的方向
[02:55] 其实也是在这两块
[02:57] 简单介绍一下我整个的一个背景经历
[03:00] 本科的话是在清华大学
[03:01] 博士阶段是在UC Berkeley那边读博
[03:04] 然后主要在研究的就是机器人和相关的控制
[03:08] 还有包括无人车
[03:09] 然后博士毕业之后就回到清华察院这边任教
[03:13] 然后继续从事机器人AI相关的研究
[03:17] 然后是大概二年的时候开始
[03:20] 做关于人形机器人和相关的机器人AI的课题
[03:26] 然后在23年的时候
[03:27] 我们成立了行动机员公司
[03:30] 目前我们是研发了多代的人形机器人的本体
[03:36] 然后以及它所对应的命通控制的强化学习模型
[03:40] 然后以及它更上乘的智能的巨声的断道端机器人大模型
[03:46] 因为你也是创业公司CEO
[03:48] 我也有几个快问快答想问你
[03:50] 公司名字
[03:52] 行动机员
[03:53] 公司创立时间
[03:54] 正式的我们成立是23年8月
[03:57] 但是实际上的话22年我们就开始做了
[04:00] 融资轮次
[04:01] 目前是pre-A轮
[04:03] 目前的估值
[04:04] 暂时保密
[04:06] 这轮正在进行中
[04:07] 你的MDTA
[04:08] 是INTP和INTJ之间跳变
[04:11] 今天我们的节目是机器人专场
[04:13] 节目延续我们之前的技术报告系列
[04:16] 陈老师会带着我们讲机器人的发展的历史
[04:19] 以及在历史之中的重要技术拐点和重要的论文
[04:23] 尤其是在现在机器人非常通用的架构
[04:27] VLA架构以上
[04:29] 那中间遇到我不懂或者有疑惑的地方呢
[04:31] 我会作为观众视角来提问
[04:33] 提问可能穿插在中间
[04:34] 有可能在最后
[04:35] 主要目的是希望和大家一起来学习机器人
[04:39] VLA这些关键的技术和行业
[04:42] 那在正式开始之前
[04:43] 我还是先问陈老师几个小问题
[04:46] 帮助大家做一下定位
[04:47] 那这两年巨声智能赛道尤其受到特别多的关注
[04:51] 这是为什么呀
[04:52] 就是你在其中也有做研究也有做创业
[04:54] 这一轮的创业相比过去10年
[04:57] 过去10年机器人赛道一直在涌动着
[05:01] 就这一轮它的显著的差异是什么
[05:04] 它的变量是什么
[05:05] 这轮的话最大的变量
[05:08] 其实还是说我们大圆模型的出现
[05:11] 对所以其实看这一轮什么时候开始火起来
[05:15] 真的非常大的火起来
[05:16] 其实大概是在23年下半年
[05:18] 然后基本上也是在大圆模型
[05:21] 基本上23年上半年火了
[05:24] 半年之后开始辐射到了机器人这一块
[05:27] 我们如果往前面看整个的脉络的话
[05:31] 其实AI for Robotics
[05:33] 这个事情是基本上近10多年才开始的事情
[05:38] 那么此前的话AI它一直跟Robotics
[05:41] 其实没有太直接的一个关系
[05:43] AI的话近10多年最重要的进展
[05:46] 当然就是说我们Deep Learning的这个出现
[05:48] 那么Deep Learning的出现
[05:50] 其实最开始跟机器人最相关的还是Computer Vision
[05:53] 它代表机器人的感知这一部分
[05:55] 但它跟机器人的其他部分
[05:57] 没有太大的关联
[05:58] 但它确实已经用到了机器人里面
[05:59] 因为它这边出来之后很快的
[06:01] 就开始在无人车里面
[06:02] 开始用Deep Learning的方式去做
[06:05] 无人车相关的Computer Vision和视觉感知方面的工作了
[06:11] 然后进一步的一个非常标志性的一个Milestone
[06:15] 就是AlphaGo的出现
[06:16] AlphaGo它背后代表的是深度强化学习
[06:20] 那么这一块的技术
[06:22] 深度的强化学习
[06:23] 其实强化学习也是蛮古老的一个领域了
[06:26] 基本上半个多年了
[06:27] 半个多世纪的一个历史
