[00:03] 大家都知道图像是大自然创造的
[00:05] 它不管你人类对它怎么理解
[00:07] 它就在那里
[00:08] 但是当时发生了一件事
[00:13] 让我们就觉得就百思不得其解了
[00:17] 然后是发现了一些蛛丝马迹
[00:20] 就比如说更大的模型
[00:23] 它在作业数学系
[00:24] 它更倾向于跳墓
[00:25] 它可能直接指向了
[00:30] 我们做那个next-to-one prediction
[00:32] 这样一个本质的缺陷
[00:34] Hello 大家好
[00:45] 欢迎收听张晓军商业访谈
[00:47] 我是小骏
[00:48] 这是一档提供一手高密度信息的商业访谈节目
[00:52] 今天这集呢
[00:54] 商业访谈录第一次迎来了一位co-host
[00:57] 是大家熟悉的李广秘
[00:59] 广秘邀请了大模型公司
[01:01] 接月星辰的首席科学家张祥宇
[01:03] 来给大家聊聊多模态的前世今生
[01:06] 和未来技术的前沿走向
[01:09] 张祥宇在这期节目中详细地阐述了
[01:12] 他参与的多模态研究的十年历史
[01:15] 对多模态的全新思考
[01:16] 以及多模态的前世今生
[01:17] 以及所预见的下一个GPT-4的时刻
[01:20] 他提到了一个细节
[01:21] 在训练过程中
[01:23] 他曾经发现了一件百思不得其解的现象
[01:26] 那就是模型的通用对话能力
[01:28] 情商和知识量都是在随着模型的变大而变得更强
[01:32] 但是模型的推理能力
[01:34] 尤其是数学的能力表现
[01:36] 却是先上升后平缓
[01:38] 再扩大反而是下降
[01:40] 这点在业界还没有引起广泛的讨论
[01:42] 那关于这个怪现象呢
[01:44] 他也给出了自己的解答
[01:46] 下面我们来看看
[01:47] 就是广密和详语的聊天
[01:49] 还是那句
[01:50] 2025期待我们和AI共同进步
[02:23] 今天我们要访谈的张祥宇
[02:25] 是我特别崇拜的一位AI科学家
[02:27] 现在也是大模型公司接月的首席科学家
[02:31] 其实祥宇非常低调
[02:32] 然后这也是人生第一次公开访谈
[02:34] 祥宇的总论文引用已经超过了37万
[02:37] 对吧
[02:38] 然后还有一个特别有意思的
[02:39] 就是在AI圈的口碑非常好
[02:43] 我问过非常多的研究员
[02:44] 就是你们觉得新一代的华人AI科学家谁最牛
[02:49] 祥宇的名字是提的最多的
[02:51] 今天我们不聊同环竞争了
[02:53] 今天我们不聊同环竞争了
[02:53] 也不聊接月公司具体的
[02:55] 我们就从比较纯粹的技术动念的角度聊聊AGI
[02:59] 也听听祥宇从个人研究视角的一些技术动念
[03:03] 反正今天我们重点聊聊
[03:05] 比如说接下来两三年
[03:07] 还有哪些潜在的GPT-4时刻
[03:10] 默融合的大一统的架构
[03:11] 比如说多摩泰有没有COT 四维链
[03:14] 然后Long Context
[03:15] 希望这一期播客是关于多摩泰最佳步道播客
[03:20] 祥宇先给听众朋友打个招
[03:23] 好了
[03:23] 我们了解祥宇你今天的论文引运数已经超过了37万
[03:28] 我们之前都从外界听过你的代表作ResNet
[03:33] 叫残差网络
[03:35] 之前在微软亚洲云音乐院的时候
[03:38] 跟何凯明 孙剑 任少卿你们几个一起完成的
[03:42] 对吧
[03:42] 跟我们展开讲讲你个人的学术经历
[03:46] 和你研究的主线
[03:48] 我当时在读博的时候
[03:50] 时间其实非常好
[03:52] 感到压抑
[03:53] 2012年大家都知道XNet
[03:55] 其实它的创法跟之前的深度学习框架
[03:59] 其实没有任何差别
[04:00] 但它最大的差别就是它做了Skilling
[04:02] 所以说其实你可以看到整个就是影响我们说深度学习
[04:07] 人工智能深度学习
[04:08] 它最大的一个动力其实就是要做Skilling
[04:12] 当时XNet非常成功
[04:14] 大家都知道非常成功
[04:15] 为什么
[04:16] 因为它刚好是达到了那个时间的最佳的历史契机
[04:21] 我们说Skilling
[04:22] 按今天的观点
[04:23] 你要同时Skill模型数据和这个算力
[04:28] 刚好在2012年那回我们知道
[04:30] 我是搞CV出身
[04:32] 搞CV的话就是在09年
[04:35] 像李维维他们团队就提出了那个Infinite
[04:38] 就是搞了一个120多万的这个数据集
[04:41] 当时你能跑完就已经很不容易了
[04:44] 所以Data Skilling可以认为在那个时候已经不受问题
[04:47] 还有人给了一个非常大的Data
[04:49] 那个算力呢
[04:50] 因为大家都知道在那个时候已经不受问题了
[04:51] 那个算力呢 因为大家都知道在那个时候已经不受问题了
[04:52] 那个零几年就提出了库达
[04:54] 一开始都是为科学计算
[04:56] 但是到12年左右
[04:58] 那一回他那个库达的性能已经非常好了
[05:01] 就是也有一些算力的支持
[05:04] 所以可以认为在算力的这个Skilling已经解决了
[05:08] 所以到那个时间点
[05:09] 就最重要的一点
[05:10] 就是你要谁最先
[05:13] 或者说是谁能够把这个Model给Skill up上去
[05:17] 像XNet它就成功了
[05:18] 之前我们做那些神经网络也就几招
[05:21] 它一下子搞到
[05:22] 就是因为这样的一个契机
[05:26] 所以XNet成功
[05:27] 刚好我在那个时候读博呢
[05:29] 也是延续了相同的路线
[05:30] 所以我整个PhD级呢
[05:32] 就是12年到这个16年
[05:35] 我所做的事情
[05:36] 其实也就是在做Model Skilling
[05:38] 我想把模型做得更大
[05:40] 然后做下去
[05:41] 而把模型做得更大呢
[05:43] 无非就是更大的宽度
[05:45] 更大的深度
[05:46] 视觉信号来说还有更大的分辨度
[05:48] 对
[05:49] 然后这块就是凯明老师和
[05:52] 陈念老师给我指导的非常多的
[05:55] 然后我们也一起提出了很多种方法
[05:57] 比如在分辨率Skill up
[05:58] 在那个宽度Skilling上
[06:00] 对它会遇到那个
[06:03] 就是相当于梯度的这个爆炸
[06:05] 或者是Velocity这些问题
[06:07] 所以我们提出了一种数据化策略
[06:09] MSRA
[06:10] INIT
[06:11] 就比较好的解决了这个宽度Skilling
[06:14] 在那个就是深度方面
[06:17] 深度是最困难的
[06:18] 之前的一些模型基本上过了十几层
[06:22] 效果就会迅速下降
[06:24] 我们刚好在那个时候就主要提出了
[06:26] NAS9
[06:27] 也是现在影响力比较大的一个工作
[06:29] 可以把网络从十几层提到几十层
[06:32] 上百层
[06:33] 甚至愿意上千层也是可以的
[06:35] 当我们把这一系列做完以后
[06:36] 其实我认为就是Model Skilling这一块
[06:40] 至少在那个时间点
[06:41] 我认为已经基本上解决了
[06:43] 所以在我毕业以后
[06:44] 其实导况是做小模型
[06:46] 对
[06:47] 因为那个时候继续把模型做大
[06:49] 因为没有特别大的收益
[06:51] 因为这时候Bound重新变成
[06:52] 了数据和权力
[06:53] 从我16年17年加入矿石以后
[06:56] 其实我做的反而是那种小模型
[06:59] 而且我也发现
[07:00] 就是说
[07:01] 从把模型从大做小
[07:04] 其实他的思路非常不一样
[07:07] 可能跟大家想象的不一样
[07:10] 觉得模型架构
[07:11] 这些设计细节非常关键
[07:12] 但实际上做过架构的同行可能都知道
[07:16] 就是很多时候我们发现架构是没有用的
[07:19] 就是架构设计
[07:20] 尤其是对大模型
[07:21] 架构设计
[07:22] 更多的是针对大方向
[07:24] 就大方向只要对了
[07:25] 比如说你只要用了resnet
[07:27] 那么至于它里面的那些层间如何连接
[07:30] 其实差别是不大的
[07:33] 对
[07:33] 效果差别是不大
[07:34] 它关键是还在那个大方向很重要
[07:36] 但是一旦你把这个计算的quota变小
[07:39] 放到比如说放到端侧
[07:41] 这时候模型架构的那个细节设计
[07:43] 就会变得非常重要
[07:44] 尤其是对于不同的硬件设备
[07:46] 它的执行效果
[07:47] 它的那个效率都是有很大不同的
[07:51] 所以呢
[07:52] 我在做沙发奈的时候也深刻的感受到
[07:54] 就是这个这件事非常困难
[07:56] 就是说你要把这个在特定的硬件上
[07:59] 要把一些特定任务的模型跑起来
[08:02] 对要设计出效率最高
[08:04] 性能最高的这个模型
[08:06] 其实需要有大量的经验设计
[08:09] 对所以一开始我们做了几个小模型工作以后呢
[08:13] 我的研究点就主要转向
[08:16] 就怎么通用或者自动化的把这些小模型
[08:19] 很复杂的这些小模型设计出来
[08:21] 所以
[08:21] 在1718年的时候
[08:24] 我就立了一个项目
[08:25] 就是搞那个神经网络架构搜索
[08:27] 就是NAS
[08:28] 就利用自动化的那个手段
[08:30] 就是把这个
[08:31] 就是把我自动化的设计
[08:35] 能够在那个特定硬件上
[08:37] 能够高效的跑起来
[08:38] 是这样的模型
[08:39] 19年提的那个叫SPOS这个工作
[08:42] 它可以用非常小的代价
[08:44] 对在特定硬件上
[08:46] 就针对给定的硬件
[08:48] 我去搜索一个在目标数据题上
[08:50] 这个效果最好
[08:51] 这样一个模型
[08:53] 就可以很大程度上解放出这个人工
[08:56] 所以到19年底的时候
[08:57] 我们的目标就是目光重新要做
[09:00] 要做大模型
[09:02] 要做大
[09:03] 按照19年这回
[09:05] 其实把模型做大和当时16年
[09:09] 它的难点已经很不一样了
[09:10] 16年那回
[09:12] 就是16年之前
[09:13] 主线的故事都是怎么把模型做大
[09:16] 有model skill
[09:17] 对
[09:17] 但是到19年
[09:19] 它最大的难点在于data skill
[09:20] 因为大家知道
[09:21] 就CV其实发展那么多年
[09:23] 虽然自监督或者是自监督
[09:25] 或者就是这种label free的方法
[09:27] 其实层出不穷
[09:29] 但是一直以来就缺少一个
[09:32] 就像那个NLP里面的
[09:34] 叫所谓的GPD实测
[09:35] 或者BERT实测这样的东西
[09:38] 对
[09:38] 但其实在19年
[09:41] 就怎么说呢
[09:41] 在19年的时候
[09:43] 其实NLP里面进展非常大
[09:46] 很多人说这个进展大致没揣测
[09:49] 但其实并不是
[09:50] 我前面也说了
[09:51] 在这里面不起主要作用
[09:53] 其主要作用是优化方法
[09:55] 之前NLP其实跟CV是一样的
[09:57] 我来一批数据
[09:58] 我去要标一大批数
[10:00] 就标一大批label
[10:02] 但你只要你还是依赖人工标注
[10:04] 那么你是永远skill up不起来的
[10:07] 对
[10:07] 但NLP它就是
[10:09] 就是他们很幸运的
[10:12] 就是发现了
[10:12] 就是我通过也特定的这种训练方式
[10:15] BERT
[10:16] 就是用类似晚性填空这样的方法
[10:20] 他找了看就看起来这个task
[10:21] 跟我的下游要做的千千万万的那个task
[10:24] 可能没有关系
[10:25] 但是他通过这样的一个上游的task
[10:28] 让首先他不需要label
[10:30] 他可以无限扩展
[10:31] 其次他发现这个说数据越多
[10:34] 我通过上游这个task
[10:35] 我神经网络就可以学到更强的表征
[10:38] 我在下游任务上就做得更好
[10:40] GBT这种decode only
[10:42] 就是predating max token这种方式
[10:45] 就更进一步
[10:46] 就是说我不需要label
[10:49] 并且它还可以
[10:51] 统一通过那个in context建模的方式
[10:55] 还可以统一很多下游的task
[10:58] 当然这里很多的inside
[11:01] 都是在GBT3出来的
[11:02] 20年GBT3出来之后才有了
[11:04] 至少nlp这条路是完全打通了
[11:07] 对
[11:07] 但在19年至少在19年
[11:09] CVA其实还没有经历过这个事
[11:12] 对
[11:13] 当时19年的时候
[11:15] 尤其上半年
[11:16] Google有很多在半检度领域的一些突破
[11:20] 对
[11:21] 比如像有点
[11:21] 这些这些东西
[11:24] 其实它走向了一个就看起来不错的一个方法
[11:29] 我们叫对比学习
[11:30] contrast learning
[11:32] 然后到19年底像Moco像CMCR这类工作出来
[11:37] 让大家重新看到了希望
[11:39] 我通过对比学习是不是
[11:41] 对比学习是不是就是
[11:43] 类似nlp里的bert dpt这个时刻
[11:47] 对
[11:48] 因为大家尤其是看到他在那个
[11:50] 是他在一些
[11:51] 很多指标上性的通过完全的这种自监督的效果
[11:56] 他的学习飞行的效果已经开始逼近
[11:58] 当时还有一定差距
[12:00] 但是已经在快速逼近
[12:02] 像我们用inline这种全标注的数据性能的效果
[12:05] 就是给人很大的鼓舞
[12:06] 但是整个业界包括我们也是花了很多精力在研究
[12:10] 结果发现了很多这些方法
[12:13] 他其实只在小模型上管理
[12:15] 仍然没有skill up的特性
[12:18] 一旦skill up了很大
[12:19] 然后发现就是效果就是这样的
[12:21] 就是快速完整性
[12:23] 然后到了20年20年其实CV里面还有一个大事
[12:26] 就是说有人把transformer在
[12:29] 就是纯transformer架构在CV上彻底做work了
[12:33] 对其实就是vit系列一直用到今天
[12:38] 那当时考学书的人大家就自然想
[12:41] 那这太好了
[12:42] 我可以把nlp的方法都搬到CV这里面来试试
[12:48] 对所以产生了很多类似的方法
[12:51] 比如说
[12:51] 现在nlp里也叫做gpt
[12:54] 在CV里面它叫iGPT
[12:57] 就imageGPT
[12:59] 在nlp里叫bert
[13:01] 在CV里叫bet
[13:03] 比较毕业
[13:04] 有一系列从nlp里接见了一个方法过来
[13:08] 对
[13:08] 但是一开始的效果非常好
[13:11] 甚至尤其是像凯明提出的MAE系列以后
[13:16] 我们可以看到它在自监督方上性能
[13:20] 尤其在对于fintune后的下游踏实
[13:22] 你不输
[13:24] 甚至略有超过对应的在全监督的信号的模型
[13:30] 就再次让CV社区又火起来了
[13:33] 对
[13:34] 但是其实我对此一直谨慎了
[13:37] 因为真确实我做了很多事情
[13:39] 都是在小模型上
[13:41] 很多都这些方法都是在小模型上
[13:44] 它一放到大的上面
[13:46] 你会发现它完全不像nlp那样
[13:48] 它有skill up的特性
[13:50] 对
[13:51] 然后其实大概到21年底的时候
[13:55] 我仔细分析了为什么早期大家做contrast learning
[13:58] 就是放到大模型
